"first_name","last_name","hire_date"
"Uri","Asmuth","1/1/1986"
"Saniya","Lanphier","1/1/1986"
"Kwangyoen","Karlin","1/1/1986"
"Yongqiao","Dulay","1/1/1986"
"Hercules","Veevers","1/1/1986"
"Jaihie","Soicher","1/1/1986"
"Tamiya","Simkin","1/1/1986"
"Sumant","Stemann","1/1/1986"
"Guadalupe","Smeets","1/1/1986"
"Theron","Homond","1/1/1986"
"Bedir","Vanwelkenhuysen","1/1/1986"
"Juyoung","Stanger","1/1/1986"
"Subir","Shumilov","1/1/1986"
"Manibrata","Stiles","1/1/1986"
"Hausi","Lores","1/1/1986"
"Toshiko","Felder","1/1/1986"
"Yongmao","Fritzsche","1/1/1986"
"Mohammed","Bahk","1/1/1986"
"Chaoyi","Kaiserswerth","1/1/1986"
"Vidar","Tibblin","1/1/1986"
"Eirik","Duclos","1/1/1986"
"Kwangyoen","Rosca","1/1/1986"
"Holgard","Prenel","1/1/1986"
"Mario","Orlowska","1/1/1986"
"Vidya","Dymetman","1/1/1986"
"Jiang","Bierbaum","1/1/1986"
"Youssef","Janocha","1/1/1986"
"Ziyad","Famili","1/1/1986"
"Mayuri","Muntz","1/1/1986"
"Munehiko","Masaki","1/1/1986"
"Danae","Nyanchama","1/1/1986"
"Alejandra","Luce","1/1/1986"
"Moto","Kenevan","1/1/1986"
"Masaki","Reeker","1/1/1986"
"Abdelkader","Marrakchi","1/1/1986"
"Moie","McConalogue","1/1/1986"
"Vasilis","Kisuki","1/1/1986"
"Tianruo","Demri","1/1/1986"
"Nirmal","Comyn","1/1/1986"
"Pranas","Baek","1/1/1986"
"Deniz","Niizuma","1/1/1986"
"Jianhao","Serot","1/1/1986"
"Shahar","Waterhouse","1/1/1986"
"Shawna","Reinhart","1/1/1986"
"Sungwon","Range","1/1/1986"
"Lijia","Rettelbach","1/1/1986"
"Mario","Schrift","1/1/1986"
"Achilleas","Kroft","1/1/1986"
"Domenick","Dehkordi","1/1/1986"
"Arlette","Boguraev","1/1/1986"
"Unal","Cooley","1/1/1986"
"Sanjay","Servieres","1/1/1986"
"Yinghua","Vidal","1/1/1986"
"Kristian","Bergere","1/1/1986"
"Sampalli","Godskesen","1/1/1986"
"Kwangjo","Zirintsis","1/1/1986"
"Juichirou","Munke","1/1/1986"
"Giri","Cooman","1/1/1986"
"Kazunori","Meriste","1/1/1986"
"Basil","Matteis","1/1/1986"
"Shir","Sambasivam","1/1/1986"
"Eishiro","Curless","1/1/1986"
"Filipe","Bottner","1/1/1986"
"Poorav","Papastamatiou","1/1/1986"
"Hercules","Harbusch","1/1/1986"
"Zhanqiu","Buescher","1/1/1986"
"Dzung","Jervis","1/1/1986"
